cluster,datacenter,stage,isWaitingForStorage
aiops-7-035,tok04,traderlite-install,no
aiops-7-036,tok05,success,no
aiops-7-037,tok02,success,no
aiops-7-038,tok04,success,no
aiops-7-039,tok05,apic-install,no
aiops-7-040,tok02,success,no
aiops-7-041,tok04,pn-install,no
aiops-7-042,tok05,mq-install,no
aiops-7-043,tok02,success,no
aiops-7-044,tok04,cs-install,no
aiops-7-045,tok05,success,no
aiops-7-046,tok02,success,no
aiops-7-047,tok04,success,no
aiops-7-048,tok05,success,no
aiops-7-049,tok02,success,no
aiops-7-050,tok04,success,no
aiops-8-001,dal13,cs-install,no
aiops-8-003,dal13,traderlite-install,no
aiops-8-004,dal13,cs-install,no
aiops-8-005,dal13,cs-install,no
aiops-8-006,dal13,cs-install,no
aiops-8-007,dal13,traderlite-install,no
aiops-8-008,dal13,traderlite-install,no
aiops-8-009,dal13,pn-install,no
aiops-8-011,dal13,cs-install,no
aiops-8-013,dal13,pn-install,no
aiops-8-014,dal13,cs-install,no
aiops-8-015,dal13,apic-install,no
aiops-8-016,dal13,cs-install,no
aiops-8-017,dal13,cs-install,no
aiops-8-018,dal13,apic-install,no
aiops-8-021,dal13,cs-install,no
aiops-8-023,dal13,traderlite-install,no
aiops-8-024,dal13,traderlite-install,no
aiops-8-025,dal13,traderlite-install,no
aiops-8-026,dal13,traderlite-install,no
aiops-8-028,dal13,ace-db-install,no
aiops-8-029,dal13,traderlite-install,no
aiops-8-030,dal13,traderlite-install,no
aiops-8-031,dal13,traderlite-install,no
aiops-8-032,dal13,pn-install,no
aiops-9-001,lon02,cs-install,no
aiops-9-002,lon02,traderlite-install,no
aiops-9-003,lon02,traderlite-install,no
aiops-9-004,lon02,apic-install,no
aiops-9-005,lon02,traderlite-install,no
aiops-9-006,lon02,pn-install,no
aiops-9-007,lon02,traderlite-install,no
aiops-9-008,lon02,apic-install,no
aiops-9-009,lon02,traderlite-install,no
aiops-9-010,lon02,pn-install,no
aiops-9-011,lon02,apic-install,no
aiops-10-001,lon05,traderlite-install,no
aiops-10-002,lon06,traderlite-install,no
aiops-10-003,lon05,traderlite-install,no
aiops-10-004,lon06,ace-des-install,no
aiops-10-005,lon05,traderlite-install,no
aiops-10-006,lon06,traderlite-install,no
aiops-10-007,lon05,traderlite-install,no
aiops-10-008,lon06,traderlite-install,no
aiops-10-009,lon05,traderlite-install,no
aiops-10-010,lon06,roks_install,no
aiops-10-011,lon05,traderlite-install,no
aiops-10-012,lon06,traderlite-install,no
aiops-10-013,lon05,traderlite-install,no
aiops-10-014,lon06,traderlite-install,no
aiops-10-015,lon05,roks_install,no
aiops-10-016,lon06,roks_install,no
aiops-10-017,lon05,traderlite-install,no
aiops-10-018,lon06,traderlite-install,no
aiops-10-019,lon05,cs-install,no
aiops-10-020,lon06,roks_install,no
aiops-10-021,lon05,traderlite-install,no
aiops-10-022,lon06,traderlite-install,no
aiops-10-023,lon05,traderlite-install,no
aiops-10-024,lon06,cs-install,no
aiops-10-025,lon05,traderlite-install,no
aiops-10-026,lon06,traderlite-install,no
aiops-10-027,lon05,traderlite-install,no
aiops-10-028,lon06,roks_install,no
aiops-10-029,lon05,traderlite-install,no
aiops-10-030,lon06,apic-install,no
aiops-10-031,lon05,roks_install,no
aiops-10-032,lon06,traderlite-install,no
aiops-10-033,lon05,traderlite-install,no
aiops-10-034,lon06,traderlite-install,no
aiops-10-035,lon05,traderlite-install,no
aiops-10-036,lon06,traderlite-install,no
aiops-10-037,lon05,traderlite-install,no
aiops-10-038,lon06,traderlite-install,no
aiops-10-039,lon05,traderlite-install,no
aiops-10-040,lon06,traderlite-install,no
aiops-11-001,wdc04,traderlite-install,no
aiops-11-002,wdc06,traderlite-install,no
aiops-11-003,wdc07,traderlite-install,no
aiops-11-004,wdc04,pn-install,no
aiops-11-005,wdc06,traderlite-install,no
aiops-11-006,wdc07,traderlite-install,no
aiops-11-007,wdc04,apic-install,no
aiops-11-008,wdc06,traderlite-install,no
aiops-11-009,wdc07,traderlite-install,no
aiops-11-010,wdc04,apic-install,no
aiops-11-011,wdc06,traderlite-install,no
aiops-11-012,wdc07,traderlite-install,no
aiops-11-013,wdc04,traderlite-install,no
aiops-11-014,wdc06,traderlite-install,no
aiops-11-015,wdc07,traderlite-install,no
aiops-11-016,wdc04,traderlite-install,no
aiops-11-017,wdc06,traderlite-install,no
aiops-11-018,wdc07,apic-install,no
aiops-11-019,wdc04,traderlite-install,no
aiops-11-020,wdc06,traderlite-install,no
aiops-11-021,wdc07,traderlite-install,no
aiops-11-022,wdc04,apic-install,no
aiops-11-023,wdc06,traderlite-install,no
aiops-11-024,wdc07,traderlite-install,no
aiops-11-025,wdc04,traderlite-install,no
aiops-11-026,wdc06,traderlite-install,no
aiops-11-027,wdc07,traderlite-install,no
aiops-11-028,wdc04,traderlite-install,no
aiops-11-029,wdc06,traderlite-install,no
aiops-11-030,wdc07,traderlite-install,no
aiops-11-031,wdc04,traderlite-install,no
aiops-11-032,wdc06,apic-install,no
aiops-11-033,wdc07,traderlite-install,no
aiops-11-034,wdc04,traderlite-install,no
aiops-11-035,wdc06,traderlite-install,no
aiops-11-036,wdc07,traderlite-install,no
aiops-11-037,wdc04,traderlite-install,no
aiops-11-038,wdc06,traderlite-install,no
aiops-11-039,wdc07,apic-install,no
aiops-11-040,wdc04,traderlite-install,no
aiops-11-041,wdc06,traderlite-install,no
aiops-11-042,wdc07,traderlite-install,no
aiops-11-043,wdc04,kafka-setup,no
aiops-11-044,wdc06,traderlite-install,no
aiops-11-045,wdc07,apic-install,no
aiops-11-046,wdc04,apic-install,no
aiops-11-047,wdc06,traderlite-install,no
aiops-11-048,wdc07,traderlite-install,no
aiops-11-049,wdc04,traderlite-install,no
aiops-11-050,wdc06,traderlite-install,no
